,Job Title,Department,Age,Gender,Marital Status,Years of Service,Salary,Exited
825,Network Engineer,Project Management,57,Male,Single,4,316.25,0
826,Data Scientist,Customer Service,37,Female,Single,7,271.67,0
827,Telecom Technician,Sales & Marketing,33,Male,Single,7,692.88,0
828,IT Support Engineer,Field Operations,50,Male,Married,7,555.79,0
829,Product Manager,Sales & Marketing,34,Male,Single,5,451.08,0
830,Marketing Analyst,Billing,30,Male,Married,6,278.38,0
831,Marketing Analyst,Field Operations,43,Female,Single,3,392.67,0
832,Sales Executive,Project Management,47,Female,Married,6,163.88,0
833,Telecom Technician,Network Operations,47,Female,Married,7,268.92,0
834,Telecom Technician,Billing,25,Female,Single,3,247.5,0
835,Data Scientist,Human Resources,45,Female,Single,1,355.58,0
836,HR Specialist,Billing,32,Female,Married,3,281.29,0
837,Billing Specialist,Project Management,36,Female,Single,1,295.04,0
838,Project Manager,Sales & Marketing,44,Female,Single,3,216.04,0
839,Marketing Analyst,Billing,50,Female,Married,3,326.17,0
840,Billing Specialist,Sales & Marketing,56,Female,Married,7,151.08,0
841,Billing Specialist,Human Resources,35,Male,Single,5,472.25,0
842,Data Scientist,Billing,55,Female,Married,7,310.29,0
843,Project Manager,Network Operations,39,Male,Married,7,269.79,0
844,Sales Executive,Field Operations,37,Male,Married,3,138.63,0
845,Project Manager,Network Operations,43,Male,Married,8,504.33,0
846,Project Manager,Billing,53,Male,Married,7,300.88,0
847,Telecom Technician,Customer Service,46,Male,Married,3,313.42,0
848,HR Specialist,Billing,28,Female,Married,8,187.04,0
849,IT Support Engineer,Field Operations,45,Female,Married,4,284.83,0
850,Project Manager,Billing,33,Male,Married,2,365.83,0
851,Data Scientist,Data Analytics,50,Male,Single,7,410.79,0
852,Product Manager,Billing,25,Male,Married,4,427.29,0
853,Project Manager,Project Management,51,Male,Single,7,430.0,0
854,Telecom Technician,Billing,48,Male,Married,2,194.63,0
855,Software Developer,Customer Service,56,Female,Single,7,179.67,0
856,Customer Support Agent,Sales & Marketing,47,Male,Single,4,257.42,0
857,Project Manager,Project Management,57,Female,Married,2,210.08,0
858,Telecom Technician,Field Operations,54,Male,Single,2,225.38,0
859,Project Manager,Customer Service,30,Female,Single,2,493.25,0
860,Customer Support Agent,Field Operations,29,Male,Single,2,730.63,0
861,Software Developer,Project Management,52,Male,Single,2,322.42,0
862,IT Support Engineer,Data Analytics,52,Male,Married,7,219.67,0
863,Software Developer,Network Operations,37,Female,Single,3,200.38,0
864,Network Engineer,Billing,57,Male,Single,6,151.88,0
865,HR Specialist,Project Management,41,Male,Single,5,199.42,0
866,Software Developer,Human Resources,27,Male,Married,6,577.08,0
867,Customer Support Agent,Billing,56,Male,Single,2,253.33,0
868,Customer Support Agent,Data Analytics,35,Female,Single,3,410.88,0
869,HR Specialist,IT & Software,40,Female,Single,5,325.13,0
870,IT Support Engineer,Project Management,50,Male,Single,7,402.0,0
871,Network Engineer,Human Resources,56,Female,Single,8,436.29,0
872,Telecom Technician,IT & Software,35,Female,Married,5,365.17,0
873,Billing Specialist,Network Operations,25,Male,Married,7,497.79,0
874,Product Manager,Customer Service,23,Male,Single,3,475.79,0
875,Marketing Analyst,Human Resources,31,Male,Married,8,656.33,0
876,Network Engineer,Sales & Marketing,48,Female,Married,4,210.29,0
877,Customer Support Agent,Sales & Marketing,25,Female,Married,2,355.29,0
878,Data Scientist,Data Analytics,49,Male,Married,8,450.79,0
879,Software Developer,Project Management,45,Male,Married,2,163.5,0
880,Customer Support Agent,Field Operations,52,Female,Single,8,283.58,0
881,Project Manager,Billing,57,Female,Married,4,414.54,0
882,Data Scientist,Human Resources,47,Male,Married,8,158.08,0
883,Data Scientist,Human Resources,39,Male,Single,6,307.38,0
884,Telecom Technician,Customer Service,27,Female,Married,5,292.63,0
885,Product Manager,Network Operations,53,Male,Single,3,312.75,0
886,HR Specialist,Project Management,31,Female,Married,3,436.75,0
887,Project Manager,Customer Service,33,Male,Single,7,338.13,0
888,Marketing Analyst,IT & Software,26,Female,Married,5,593.54,0
889,Software Developer,Sales & Marketing,50,Female,Single,3,350.08,0
890,Sales Executive,IT & Software,26,Female,Married,8,386.88,0
891,Data Scientist,IT & Software,53,Female,Single,4,233.54,0
892,Customer Support Agent,Data Analytics,38,Female,Married,4,191.25,0
893,IT Support Engineer,Customer Service,34,Female,Married,8,364.92,0
894,Network Engineer,Customer Service,31,Male,Single,3,525.54,0
895,IT Support Engineer,Data Analytics,36,Male,Single,7,396.42,0
896,Marketing Analyst,Human Resources,55,Male,Single,7,541.63,0
897,Sales Executive,Customer Service,46,Female,Married,7,698.08,0
898,Marketing Analyst,Network Operations,38,Male,Single,2,486.83,0
899,HR Specialist,Network Operations,30,Female,Married,1,252.33,0
900,Network Engineer,Human Resources,27,Male,Married,8,309.75,0
901,Network Engineer,Network Operations,58,Female,Married,2,628.58,0
902,Data Scientist,Data Analytics,57,Male,Single,2,137.79,0
903,Sales Executive,Billing,42,Female,Married,5,298.0,0
904,Product Manager,IT & Software,29,Female,Single,8,435.13,0
905,Software Developer,Data Analytics,34,Female,Married,2,386.5,0
906,Marketing Analyst,Field Operations,55,Female,Married,7,266.38,0
907,Project Manager,Data Analytics,25,Female,Married,8,357.13,0
908,Billing Specialist,Field Operations,24,Female,Single,2,317.79,0
909,HR Specialist,Project Management,58,Male,Married,5,390.29,0
910,Marketing Analyst,Human Resources,24,Female,Single,8,444.54,0
911,HR Specialist,Billing,58,Female,Married,2,264.63,0
912,Billing Specialist,Human Resources,36,Female,Married,1,239.63,0
913,Project Manager,Data Analytics,43,Female,Married,6,680.13,0
914,Sales Executive,Data Analytics,29,Female,Single,2,497.88,0
915,Data Scientist,Data Analytics,53,Male,Single,2,336.13,0
916,Project Manager,Data Analytics,37,Male,Married,2,572.25,0
917,Network Engineer,Data Analytics,36,Male,Single,7,439.63,0
918,IT Support Engineer,Field Operations,23,Male,Single,4,344.08,0
919,Project Manager,Field Operations,58,Male,Single,8,548.42,0
920,Sales Executive,Customer Service,39,Male,Married,4,282.5,0
921,Marketing Analyst,Project Management,28,Male,Single,5,560.5,0
922,Product Manager,Field Operations,40,Male,Married,6,416.25,0
923,Data Scientist,Billing,36,Male,Married,2,551.5,0
924,Customer Support Agent,Data Analytics,53,Male,Single,2,233.83,0
925,Billing Specialist,Network Operations,43,Male,Married,7,372.04,0
926,IT Support Engineer,Network Operations,36,Male,Single,7,403.63,0
927,Marketing Analyst,Human Resources,22,Female,Married,5,216.92,0
928,IT Support Engineer,Billing,44,Male,Single,1,199.79,0
929,Customer Support Agent,Sales & Marketing,55,Female,Married,3,289.58,0
930,Marketing Analyst,Billing,47,Male,Married,3,256.75,0
931,HR Specialist,Project Management,42,Female,Single,2,476.83,0
932,Billing Specialist,Customer Service,30,Female,Married,8,241.79,0
933,Network Engineer,Sales & Marketing,29,Male,Single,7,131.54,0
934,Sales Executive,Project Management,38,Male,Married,3,412.83,0
935,IT Support Engineer,IT & Software,42,Female,Married,8,435.83,0
936,Sales Executive,Human Resources,51,Female,Married,3,312.54,0
937,Network Engineer,Human Resources,47,Female,Married,6,183.75,0
938,Product Manager,Data Analytics,42,Female,Single,4,189.04,0
939,Network Engineer,Data Analytics,51,Male,Single,8,272.42,0
940,Telecom Technician,Billing,30,Female,Single,8,342.04,0
941,Product Manager,Sales & Marketing,37,Female,Married,7,250.58,0
942,Sales Executive,Customer Service,30,Female,Married,7,268.0,0
943,Billing Specialist,Field Operations,54,Male,Single,5,162.33,0
944,IT Support Engineer,Human Resources,53,Male,Single,7,371.04,0
945,Project Manager,Billing,47,Female,Single,1,154.75,0
946,Product Manager,Human Resources,39,Female,Single,7,423.25,0
947,Telecom Technician,Billing,33,Male,Single,5,292.29,0
948,Product Manager,Data Analytics,45,Male,Married,4,343.83,0
949,Marketing Analyst,Billing,41,Male,Married,4,370.67,0
950,IT Support Engineer,IT & Software,25,Male,Single,4,366.75,0
951,Customer Support Agent,Customer Service,57,Male,Married,6,369.54,0
952,Software Developer,Field Operations,55,Female,Single,5,425.63,0
953,Billing Specialist,Field Operations,48,Male,Single,4,318.63,0
954,Data Scientist,Sales & Marketing,56,Male,Married,5,314.33,0
955,Customer Support Agent,Project Management,39,Female,Married,4,340.75,0
956,Product Manager,Project Management,54,Male,Single,5,383.0,0
957,Software Developer,Billing,32,Female,Single,2,268.88,0
958,Billing Specialist,Sales & Marketing,51,Female,Single,7,325.25,0
959,Billing Specialist,Human Resources,33,Female,Married,8,345.25,0
960,IT Support Engineer,Data Analytics,56,Male,Single,7,393.25,0
961,Product Manager,Human Resources,56,Male,Married,7,594.75,0
962,Network Engineer,Sales & Marketing,24,Male,Married,3,649.17,0
963,Billing Specialist,Field Operations,26,Male,Single,4,176.13,0
964,Billing Specialist,Billing,56,Male,Single,7,421.13,0
965,Billing Specialist,Customer Service,42,Female,Single,6,320.33,0
966,Data Scientist,IT & Software,58,Male,Single,3,592.88,0
967,Product Manager,IT & Software,50,Female,Single,2,135.04,0
968,HR Specialist,Project Management,36,Male,Single,3,370.92,0
969,Network Engineer,Network Operations,22,Female,Married,7,323.0,0
970,Telecom Technician,Field Operations,25,Female,Married,8,669.58,0
971,Product Manager,Project Management,47,Male,Single,3,150.88,0
972,Telecom Technician,Sales & Marketing,25,Female,Single,2,273.25,0
973,IT Support Engineer,Project Management,57,Male,Single,8,231.0,0
974,HR Specialist,IT & Software,25,Female,Married,8,514.17,0
975,Network Engineer,Field Operations,23,Female,Single,4,314.5,0
976,Telecom Technician,Field Operations,47,Male,Married,3,292.04,0
977,Project Manager,Network Operations,31,Male,Single,6,635.0,0
978,Software Developer,Network Operations,25,Male,Married,7,355.83,0
979,Sales Executive,Project Management,39,Female,Single,2,169.04,0
980,Software Developer,Project Management,23,Male,Single,2,518.29,0
981,Sales Executive,Sales & Marketing,24,Male,Single,5,131.42,0
982,HR Specialist,Field Operations,49,Male,Single,2,462.08,0
983,Customer Support Agent,Data Analytics,49,Male,Married,4,387.75,0
984,Product Manager,Sales & Marketing,37,Male,Single,7,431.67,0
985,HR Specialist,Customer Service,25,Female,Married,3,717.92,0
986,Network Engineer,Billing,24,Female,Single,2,301.92,0
987,Telecom Technician,Project Management,35,Male,Married,3,172.08,0
988,Customer Support Agent,IT & Software,40,Male,Married,2,254.04,0
989,Marketing Analyst,Project Management,25,Male,Married,8,259.29,0
990,Customer Support Agent,Human Resources,41,Female,Married,7,256.58,0
991,Project Manager,Human Resources,39,Male,Married,4,265.29,0
992,Marketing Analyst,Human Resources,25,Male,Single,8,479.63,0
993,Data Scientist,Data Analytics,29,Female,Married,8,568.88,0
994,Data Scientist,IT & Software,25,Male,Married,1,176.29,0
995,Project Manager,Sales & Marketing,58,Female,Married,3,139.79,0
996,Product Manager,Data Analytics,24,Female,Married,3,488.29,0
997,Telecom Technician,Customer Service,46,Female,Married,3,320.13,0
998,Sales Executive,Data Analytics,37,Male,Single,2,145.04,0
999,Marketing Analyst,Human Resources,29,Female,Married,7,474.0,0
1000,Data Scientist,Project Management,35,Male,Single,5,432.42,0
1001,Marketing Analyst,IT & Software,31,Female,Single,8,235.63,0
1002,Marketing Analyst,Billing,45,Female,Married,6,330.25,0
1003,IT Support Engineer,Project Management,46,Female,Married,6,146.5,0
1004,Data Scientist,Network Operations,55,Female,Single,7,331.58,0
1005,Customer Support Agent,Billing,47,Male,Married,6,227.79,0
1006,Billing Specialist,Field Operations,35,Male,Married,4,294.67,0
1007,Network Engineer,Project Management,34,Male,Single,6,460.88,0
1008,Billing Specialist,Billing,48,Female,Single,8,338.42,0
1009,Customer Support Agent,Human Resources,47,Female,Married,4,390.33,0
1010,Billing Specialist,Field Operations,32,Female,Single,2,163.58,0
1011,Project Manager,Sales & Marketing,52,Female,Married,3,215.29,0
1012,Software Developer,Field Operations,40,Female,Single,4,304.13,0
1013,Product Manager,Project Management,45,Male,Married,4,302.08,0
1014,Product Manager,Human Resources,25,Female,Single,4,362.29,0
1015,Product Manager,Project Management,48,Female,Single,7,548.08,0
1016,HR Specialist,Customer Service,29,Female,Married,2,174.92,0
1017,Customer Support Agent,Sales & Marketing,53,Male,Married,6,154.17,0
1018,Sales Executive,Customer Service,35,Female,Married,3,219.63,0
1019,Project Manager,Billing,25,Male,Married,7,277.67,0
1020,Telecom Technician,Human Resources,24,Male,Single,5,410.29,0
1021,IT Support Engineer,Billing,36,Female,Married,4,433.58,0
1022,Billing Specialist,Billing,49,Female,Married,7,346.29,0
1023,HR Specialist,Data Analytics,49,Female,Single,5,280.08,0
1024,Product Manager,Human Resources,33,Male,Married,8,422.79,0
1025,Telecom Technician,IT & Software,29,Female,Single,8,405.0,0
1026,HR Specialist,Human Resources,55,Female,Married,4,498.0,0
1027,Customer Support Agent,Human Resources,39,Female,Single,8,159.5,0
1028,Telecom Technician,Human Resources,25,Male,Married,8,427.63,0
1029,Sales Executive,Sales & Marketing,43,Male,Married,6,467.38,0
1030,Marketing Analyst,Network Operations,25,Male,Single,4,459.88,0
1031,Telecom Technician,Customer Service,36,Male,Married,6,203.17,0
1032,HR Specialist,Human Resources,26,Female,Married,5,289.0,0
1033,Data Scientist,Customer Service,24,Female,Single,2,311.13,0
1034,Network Engineer,Customer Service,25,Male,Married,4,149.58,0
1035,Software Developer,Sales & Marketing,38,Female,Married,8,229.75,0
1036,Billing Specialist,Data Analytics,58,Female,Single,8,350.13,0
1037,Telecom Technician,Field Operations,42,Female,Married,8,243.13,0
1038,IT Support Engineer,Billing,52,Female,Married,3,471.79,0
1039,Network Engineer,Customer Service,58,Male,Single,4,636.42,0
1040,Sales Executive,Network Operations,26,Female,Married,6,205.79,0
1041,Project Manager,Network Operations,54,Male,Single,4,433.38,0
1042,IT Support Engineer,Project Management,58,Female,Married,2,506.08,0
1043,Software Developer,IT & Software,58,Female,Single,5,292.42,0
1044,Telecom Technician,Customer Service,37,Female,Single,6,478.83,0
1045,Project Manager,Billing,40,Male,Single,4,393.88,0
1046,IT Support Engineer,Sales & Marketing,51,Male,Single,8,402.17,0
1047,Telecom Technician,Customer Service,51,Male,Married,3,389.79,0
1048,Network Engineer,Customer Service,46,Female,Single,3,322.75,0
1049,Customer Support Agent,Billing,32,Female,Married,6,648.54,0
1050,Project Manager,Billing,55,Male,Married,6,362.25,0
1051,Marketing Analyst,Billing,22,Female,Single,8,367.88,0
1052,Data Scientist,Human Resources,40,Female,Single,7,261.08,0
1053,Product Manager,IT & Software,39,Female,Married,1,385.54,0
1054,HR Specialist,Network Operations,25,Female,Married,2,151.92,0
1055,IT Support Engineer,Sales & Marketing,31,Female,Married,8,457.75,0
1056,Data Scientist,Project Management,49,Female,Single,3,225.58,0
1057,Sales Executive,Field Operations,55,Female,Single,2,223.75,0
1058,IT Support Engineer,Customer Service,22,Male,Married,4,422.29,0
1059,IT Support Engineer,Customer Service,27,Female,Married,1,555.58,0
1060,Sales Executive,Field Operations,36,Female,Single,6,383.79,0
1061,IT Support Engineer,Field Operations,36,Male,Married,6,441.29,0
1062,Product Manager,IT & Software,34,Female,Single,5,371.5,0
1063,IT Support Engineer,Customer Service,43,Female,Single,3,347.54,0
1064,Sales Executive,Human Resources,27,Female,Single,8,163.75,0
1065,Software Developer,Billing,57,Male,Single,8,393.33,0
1066,IT Support Engineer,Field Operations,44,Female,Married,6,466.92,0
1067,Product Manager,Billing,33,Male,Single,5,353.25,0
1068,Software Developer,Customer Service,44,Male,Married,3,219.92,0
1069,IT Support Engineer,Data Analytics,38,Male,Married,5,398.67,0
1070,Network Engineer,Sales & Marketing,54,Male,Married,3,197.63,0
1071,Software Developer,Sales & Marketing,25,Male,Married,3,320.13,0
1072,Sales Executive,Project Management,42,Male,Married,2,408.92,0
1073,Customer Support Agent,Human Resources,39,Female,Married,5,527.33,0
1074,Product Manager,IT & Software,27,Female,Single,8,345.42,0
1075,Telecom Technician,IT & Software,50,Female,Single,8,381.29,0
1076,Software Developer,Billing,26,Female,Married,8,381.29,0
1077,Customer Support Agent,Project Management,22,Male,Married,6,377.58,0
1078,Customer Support Agent,Project Management,44,Female,Single,8,255.67,0
1079,Network Engineer,Customer Service,27,Female,Married,3,206.42,0
1080,Network Engineer,Human Resources,54,Male,Single,4,307.54,0
1081,Marketing Analyst,Project Management,50,Male,Married,4,213.42,0
1082,HR Specialist,Human Resources,34,Female,Married,2,399.25,0
1083,Billing Specialist,Network Operations,25,Female,Single,3,343.33,0
1084,Billing Specialist,Network Operations,29,Male,Married,8,468.29,0
1085,Telecom Technician,Customer Service,25,Male,Single,3,442.04,0
1086,HR Specialist,Network Operations,22,Female,Single,3,429.04,0
1087,HR Specialist,Sales & Marketing,55,Male,Single,3,313.63,0
1088,HR Specialist,Customer Service,53,Female,Single,7,407.17,0
1089,Product Manager,Sales & Marketing,51,Male,Married,2,440.08,0
1090,Product Manager,Data Analytics,56,Male,Married,5,349.88,0
1091,HR Specialist,Human Resources,25,Female,Married,2,234.92,0
1092,Software Developer,Data Analytics,30,Female,Married,4,370.75,0
1093,Telecom Technician,Project Management,31,Male,Single,5,572.5,0
1094,Product Manager,Human Resources,26,Female,Married,5,156.13,0
1095,Data Scientist,Human Resources,41,Female,Married,3,660.63,0
1096,Marketing Analyst,Project Management,34,Female,Single,8,552.54,0
1097,Product Manager,Human Resources,25,Female,Single,2,170.33,0
1098,Marketing Analyst,Project Management,32,Female,Married,1,299.58,0
1099,Project Manager,Sales & Marketing,24,Male,Single,3,155.0,0
1100,Data Scientist,Field Operations,44,Male,Single,4,143.42,0
1101,Telecom Technician,Project Management,55,Female,Single,5,324.88,0
1102,IT Support Engineer,Human Resources,36,Male,Married,8,472.88,0
1103,Customer Support Agent,Field Operations,41,Female,Married,2,574.38,0
1104,Telecom Technician,Data Analytics,29,Male,Married,7,423.67,0
1105,Software Developer,Network Operations,40,Male,Single,7,189.42,0
1106,Telecom Technician,Customer Service,25,Male,Single,8,189.42,0
1107,Marketing Analyst,Billing,24,Male,Single,3,331.79,0
1108,Software Developer,Customer Service,40,Male,Single,6,395.0,0
1109,Marketing Analyst,Customer Service,43,Male,Married,3,563.13,0
1110,Project Manager,Field Operations,36,Female,Single,7,550.58,0
1111,Billing Specialist,Sales & Marketing,36,Male,Single,2,339.54,0
1112,Project Manager,Field Operations,49,Male,Married,8,387.92,0
1113,Software Developer,Network Operations,51,Male,Single,8,205.0,0
1114,HR Specialist,IT & Software,39,Female,Married,3,251.0,0
1115,Marketing Analyst,Data Analytics,48,Female,Married,3,552.88,0
1116,Project Manager,Project Management,48,Female,Married,3,203.33,0
1117,Billing Specialist,IT & Software,40,Male,Single,2,181.29,0
1118,Sales Executive,IT & Software,24,Male,Married,7,390.75,0
1119,Customer Support Agent,Project Management,43,Female,Married,7,596.0,0
1120,Software Developer,Field Operations,32,Female,Married,6,249.79,0
1121,Software Developer,Data Analytics,58,Male,Single,3,338.92,0
1122,Marketing Analyst,Billing,43,Female,Married,2,155.0,0
1123,Project Manager,Customer Service,41,Male,Single,2,378.13,0
1124,Customer Support Agent,Sales & Marketing,58,Male,Married,7,246.29,0
1125,Marketing Analyst,Sales & Marketing,45,Male,Single,8,489.92,0
1126,Telecom Technician,Data Analytics,31,Male,Single,4,303.88,0
1127,Network Engineer,Project Management,29,Male,Single,2,409.38,0
1128,IT Support Engineer,Project Management,34,Male,Single,5,181.29,0
1129,IT Support Engineer,Sales & Marketing,34,Female,Single,7,590.5,0
1130,Marketing Analyst,Customer Service,50,Female,Single,8,474.79,0
1131,Data Scientist,Network Operations,53,Female,Married,6,554.75,0
1132,Product Manager,Human Resources,40,Male,Married,2,335.88,0
1133,HR Specialist,Field Operations,30,Female,Married,8,725.54,0
1134,Telecom Technician,Data Analytics,25,Female,Single,3,161.75,0
1135,Telecom Technician,Network Operations,28,Female,Married,2,326.0,0
1136,Network Engineer,Sales & Marketing,38,Male,Married,3,396.0,0
1137,Marketing Analyst,Field Operations,56,Male,Married,8,217.92,0
1138,Customer Support Agent,Sales & Marketing,28,Female,Married,8,389.17,0
1139,Customer Support Agent,Network Operations,41,Male,Married,6,187.79,0
1140,Customer Support Agent,Billing,28,Female,Married,8,460.04,0
1141,Project Manager,Network Operations,31,Male,Single,8,240.79,0
1142,HR Specialist,Data Analytics,34,Male,Single,8,609.38,0
1143,Billing Specialist,Sales & Marketing,49,Female,Married,4,339.83,0
1144,HR Specialist,Network Operations,51,Male,Married,7,421.29,0
1145,Product Manager,Billing,51,Female,Married,8,308.33,0
1146,Software Developer,Customer Service,42,Male,Married,4,383.33,0
1147,Data Scientist,Customer Service,38,Male,Single,4,454.79,0
1148,Software Developer,IT & Software,39,Male,Single,5,560.29,0
1149,Network Engineer,Customer Service,24,Male,Single,4,522.17,0
1150,Marketing Analyst,IT & Software,26,Female,Single,6,432.08,0
1151,Customer Support Agent,Network Operations,38,Female,Married,8,190.79,0
1152,IT Support Engineer,Customer Service,30,Female,Married,6,238.88,0
1153,Data Scientist,Billing,37,Male,Single,4,333.83,0
1154,HR Specialist,Field Operations,54,Female,Married,2,236.88,0
1155,Network Engineer,Sales & Marketing,37,Female,Single,3,505.75,0
1156,Software Developer,Human Resources,25,Female,Single,3,207.54,0
1157,Network Engineer,Field Operations,51,Male,Married,5,406.38,0
1158,Project Manager,Billing,22,Male,Single,3,200.79,0
1159,HR Specialist,Sales & Marketing,41,Male,Single,3,237.5,0
1160,Network Engineer,Customer Service,48,Male,Married,7,185.58,0
1161,Project Manager,Human Resources,25,Male,Single,8,371.17,0
1162,Data Scientist,Customer Service,54,Female,Married,2,272.54,0
1163,Project Manager,IT & Software,42,Male,Married,3,279.25,0
1164,IT Support Engineer,Project Management,55,Male,Single,6,362.33,0
1165,Telecom Technician,Sales & Marketing,55,Male,Single,2,430.88,0
1166,Project Manager,Network Operations,36,Male,Single,8,328.17,0
1167,Data Scientist,Sales & Marketing,46,Female,Married,2,291.04,0
1168,Project Manager,Billing,41,Female,Married,7,606.88,0
1169,Software Developer,IT & Software,25,Male,Single,8,286.88,0
1170,Data Scientist,Human Resources,48,Female,Married,1,583.92,0
1171,Customer Support Agent,Field Operations,54,Female,Single,8,712.83,0
1172,Software Developer,Project Management,54,Male,Single,7,464.0,0
1173,Telecom Technician,Data Analytics,47,Female,Married,4,237.67,0
1174,HR Specialist,Field Operations,31,Female,Married,4,147.38,0
1175,HR Specialist,Human Resources,23,Male,Single,7,240.79,0
1176,Product Manager,Billing,47,Male,Single,7,341.75,0
1177,Sales Executive,IT & Software,50,Female,Single,5,143.13,0
1178,Marketing Analyst,Human Resources,49,Female,Single,6,359.42,0
1179,HR Specialist,Human Resources,25,Female,Married,6,512.33,0
1180,IT Support Engineer,Sales & Marketing,54,Female,Married,4,160.63,0
1181,Customer Support Agent,Field Operations,26,Male,Single,7,292.54,0
1182,Telecom Technician,Field Operations,38,Female,Married,3,309.42,0
1183,Software Developer,Network Operations,50,Female,Single,4,449.92,0
1184,Project Manager,Project Management,58,Female,Single,5,396.0,0
1185,Data Scientist,IT & Software,37,Female,Married,2,374.25,0
1186,Sales Executive,Data Analytics,40,Female,Married,2,394.33,0
1187,Sales Executive,Billing,30,Female,Married,2,375.0,0
1188,Network Engineer,Data Analytics,57,Male,Single,5,387.54,0
1189,Product Manager,Network Operations,29,Male,Single,5,391.13,0
1190,IT Support Engineer,Project Management,52,Male,Married,7,366.08,0
1191,Sales Executive,Field Operations,37,Female,Single,5,356.75,0
1192,Billing Specialist,Customer Service,38,Male,Married,6,206.38,0
1193,IT Support Engineer,Network Operations,52,Male,Single,2,262.92,0
1194,Product Manager,Customer Service,25,Female,Single,2,137.33,0
1195,Marketing Analyst,IT & Software,52,Male,Married,4,384.38,0
1196,Marketing Analyst,IT & Software,48,Male,Single,2,174.67,0
1197,Sales Executive,Data Analytics,51,Male,Married,2,719.67,0
1198,HR Specialist,IT & Software,50,Male,Married,2,437.58,0
1199,Sales Executive,Network Operations,31,Female,Single,5,289.13,0
1200,Marketing Analyst,Field Operations,55,Female,Married,7,251.17,0
1201,Customer Support Agent,Human Resources,41,Female,Married,7,676.75,0
1202,Customer Support Agent,Data Analytics,53,Female,Single,8,589.54,0
1203,Marketing Analyst,Customer Service,41,Female,Married,3,174.79,0
1204,Sales Executive,Billing,44,Male,Single,8,152.0,0
1205,Project Manager,Sales & Marketing,25,Male,Married,8,317.92,0
1206,Customer Support Agent,Billing,44,Male,Married,2,245.83,0
1207,Billing Specialist,Field Operations,32,Female,Single,6,413.04,0
1208,Billing Specialist,Billing,44,Male,Married,6,389.88,0
1209,Product Manager,Human Resources,49,Female,Single,4,245.17,0
1210,Product Manager,Field Operations,54,Male,Single,8,417.58,0
1211,Marketing Analyst,Customer Service,31,Male,Single,8,489.67,0
1212,Telecom Technician,Human Resources,26,Female,Married,6,346.75,0
1213,IT Support Engineer,IT & Software,49,Female,Married,6,231.63,0
1214,HR Specialist,Data Analytics,46,Male,Single,7,619.92,0
1215,Software Developer,Field Operations,29,Male,Married,4,225.83,0
1216,Sales Executive,IT & Software,55,Female,Single,7,393.5,0
1217,Billing Specialist,Field Operations,35,Male,Single,6,552.17,0
1218,Sales Executive,Customer Service,26,Female,Single,2,616.83,0
1219,Sales Executive,Field Operations,57,Male,Married,4,573.88,0
1220,HR Specialist,IT & Software,26,Male,Single,2,338.42,0
1221,Customer Support Agent,IT & Software,56,Female,Single,4,407.0,0
1222,Customer Support Agent,Field Operations,23,Male,Single,7,170.79,0
1223,Data Scientist,IT & Software,58,Male,Married,8,189.13,0
1224,Project Manager,Project Management,26,Female,Married,4,326.5,0
1225,Software Developer,Sales & Marketing,23,Male,Single,7,308.42,0
1226,Project Manager,Human Resources,39,Male,Married,5,375.33,0
1227,Product Manager,Human Resources,44,Male,Married,4,260.38,0
1228,Software Developer,Sales & Marketing,44,Female,Single,2,359.08,0
1229,Project Manager,Customer Service,36,Male,Married,6,749.08,0
1230,Product Manager,Project Management,55,Female,Single,2,633.75,0
1231,Marketing Analyst,IT & Software,52,Female,Married,2,384.79,0
1232,Data Scientist,IT & Software,56,Male,Single,7,330.33,0
1233,Data Scientist,Data Analytics,22,Female,Single,3,544.5,0
1234,Network Engineer,Customer Service,42,Female,Single,5,516.0,0
1235,Customer Support Agent,Sales & Marketing,49,Female,Single,4,242.79,0
1236,Product Manager,Network Operations,46,Male,Single,4,302.58,0
1237,Billing Specialist,IT & Software,31,Female,Single,5,154.04,0
1238,Product Manager,Network Operations,28,Female,Single,7,331.63,0
1239,Project Manager,Project Management,33,Female,Single,2,367.67,0
1240,Billing Specialist,Customer Service,28,Female,Married,3,232.29,0
1241,Marketing Analyst,IT & Software,46,Male,Single,6,356.88,0
1242,Billing Specialist,Field Operations,24,Female,Married,2,345.63,0
1243,Sales Executive,Customer Service,50,Male,Single,6,329.08,0
1244,HR Specialist,Network Operations,34,Female,Married,8,340.38,0
1245,Sales Executive,Project Management,48,Male,Single,1,241.13,0
1246,Data Scientist,Project Management,35,Male,Married,2,348.58,0
1247,Telecom Technician,Customer Service,49,Female,Married,7,566.08,0
1248,Product Manager,Field Operations,54,Male,Single,2,196.29,0
1249,Telecom Technician,Field Operations,55,Male,Single,3,288.88,0
1250,HR Specialist,Sales & Marketing,53,Male,Married,2,459.5,0
1251,Software Developer,Customer Service,38,Female,Married,7,176.67,0
1252,Network Engineer,Sales & Marketing,55,Female,Married,2,325.04,0
1253,Customer Support Agent,Field Operations,49,Male,Single,8,230.38,0
1254,Software Developer,IT & Software,40,Male,Single,7,329.58,0
1255,IT Support Engineer,Field Operations,52,Male,Married,1,319.29,0
1256,Project Manager,IT & Software,24,Male,Married,4,529.88,0
1257,Telecom Technician,IT & Software,24,Female,Married,7,413.29,0
1258,Marketing Analyst,Billing,44,Female,Married,4,313.67,0
1259,Product Manager,Network Operations,25,Female,Married,7,187.42,0
